text,label
"Kastigar cited his Fifth Amendment protection against self-incrimination in refusing to testify before a grand jury, even though prosecutors had granted him immunity from the use of his testimony in subsequent criminal proceedings. He was found in contempt of court for failing to testify.",0
"The Securities and Exchange Commission (SEC) set fixed commission rates for stock transactions less than $500,000. Richard A. Gordon, on behalf of a class of independent investors, sued the New York Stock Exchange and member firms claiming fixed commission rates and exorbitant membership fees violated the Sherman Antitrust Act. The district court granted summary judgment to the New York Stock Exchange, holding that the authority of the SEC provided immunity from antitrust claims. The United States Court of Appeals for the Second Circuit Affirmed.",0
"Jennifer Harbury, a United States citizen, is the widow of Efrain Bamaca- Velasquez, a Guatemalan rebel leader. Harbury alleged that Government officials intentionally deceived her in concealing information that her husband had been executed by Guatemalan army officers paid by the Central Intelligence Agency (CIA). Harbury also alleged that this deception denied her access to the courts by leaving her without information, or reason to seek information, with which she could have brought a lawsuit that might have saved her husband's life. Harbury filed suit, listing 28 causes of action, for the violation of her constitutional right of access to courts. With respect to the access-to-courts counts, the District Court held that Harbury had not stated a valid cause of action. Given that she had not filed a prior suit, the court reasoned that she could only guess how the alleged cover-up might have prejudiced her rights to bring a separate action and that the defendants would be entitled to qualified immunity. The Court of Appeals reversed only the dismissal of one of Harbury's claims for denial of access to courts.",1
"In 1937, Congress passed the Agricultural Marketing Agreement Act (AMAA) to promote fair pricing and uniform marketing conditions in the agriculture business. Exempted from antitrust laws, the AMAA mandated uniform prices, product standards, and other conditions; all of which had to be approved by at least two-thirds of the affected producers and implemented by producer committees appointed by the Secretary of Agriculture. The AMAA's administrative expenses were to be covered by assessments imposed on activities such as product advertising and promotion. After suffering adverse rulings at the administrative, District, and Circuit Court levels, a group of California tree fruit growers, handlers, and processors appealed their constitutional challenge of the AMAA to the Supreme Court - which granted certiorari.",1
"Johnson Controls, Inc. (""Johnson"") manufactures batteries whose assembly process entails exposure to high levels of lead. After discovering that eight of its female employees became pregnant while maintaining blood lead levels in excess of those thought safe by the Occupational Safety and Health Administration (OSHA), Johnson barred all its female employees - except those with medically documented infertility - from engaging in tasks that require exposure to lead in access of recommended OSHA levels. Following its passage, the United Automobile Workers (UAW) challenged Johnson's fetal-protection policy as sexually discriminatory in violation of Title VII of the 1964 Civil Rights Act (Act). When the Appellate Court affirmed a district court decision in favor of Johnson, the UAW appealed and the Supreme Court granted certiorari.",1
"In 2005, the Georgia Department of Human Resources (DHR) and related state agencies settled a class action lawsuit with plaintiff foster children under the care of the DHR. However, the parties could not agree on the appropriate amount of attorneys' fees to be included in the settlement. Subsequently, the plaintiffs filed a motion in a Georgia federal district court for that court to make a fee determination and award. The plaintiffs argued that they were owed over $7 million for services rendered and also deserved a $7 million fee enhancement for a job well done. The district court largely agreed with the plaintiffs and awarded $10,522,405.08 in compensation, over $4 million of which was a fee enhancement. The district court reasoned that ""the superb quality of counsel's representation far exceeded what could reasonably be expected for the standard hourly rates used to calculate the fee"" and thus justified the enhancement. On appeal, the Eleventh Circuit affirmed, holding that the district court did not abuse its discretion when it enhanced the lodestar figure (hours reasonably expended multiplied by a reasonable hourly rate) because of counsel's skill, commitment, dedication, and professionalism. The Court reasoned that the enhancement of the lodestar amount of attorney's fees may be allowed for superior representation coupled with the exceptional nature of results.",1
"Fourth Estate Public Benefit Corporation is a news organization that produces online journalism and licenses articles to websites while retaining the copyright to the articles. Wall-Street.com obtained licenses to several articles produced by Fourth Estate, and under the license agreement, Wall-Street was required to remove all of the content produced by Fourth Estate from its website before cancelling its account. However, when Wall-Street cancelled its account, it continued to display the articles produced by Fourth Estate. Fourth Estate filed a lawsuit for copyright infringement, although it filed an application to register its allegedly infringed copyrights and the copyright office had not yet registered its claims. The district court dismissed the action, finding “registration” under Section 411 of the Copyright Act required that the register of copyrights “register the claim,” and that step had not occurred. The Eleventh Circuit affirmed.",0
"In the midst of a labor strike against Southern Bell Telephone Company, Louis Joseph Abbate, Michael Louis Falcone, and Norman McLeod met with James Shelby, a union official, in a Chicago tavern. Shelby requested the others’ assistance in carrying out plans to bomb certain Southern Bell facilities in Mississippi, Louisiana, and Tennessee. Abbate and Falcone did not go through with the plan and instead informed Chicago police when McLeod obtained dynamite and traveled to Mississippi. The State of Illinois subsequently charged all four with the crime of conspiring to destroy the property of another. Abbate and Falcone pled guilty and were sentenced to three months in prison each. Because several of the targeted facilities were used exclusively by the military and federal agencies, federal prosecutors subsequently charged Abbate, Falcone, and Shelby with conspiring to destroy property essential to the U.S. communications systems. At trial in federal district court, McLeod testified against his former co-conspirators, and the jury found them guilty. The U.S. Court of Appeals for the Fifth Circuit affirmed the judgments against Abbate and Falcone on appeal. In their petition to the Supreme Court, Abbate and Falcone argued that the federal prosecution subsequent to their convictions under Illinois law violated the Double Jeopardy Clause of the Fifth Amendment, which prevents someone from being tried more than once for the same crime.",0
"After Eugene Woodard's death sentence was finalized, the Ohio Adult Parole Authority commenced a clemency investigation. The Authority informed Woodard of his voluntary interview and clemency hearing. Ultimately, Woodard filed suit, alleging that Ohio's clemency process violated his Fourteenth Amendment due process right and his Fifth Amendment right to remain silent. Ultimately, the Court of Appeals held that Woodard had failed to establish a life or liberty interest protected by due process arising out of the clemency proceeding itself. The appellate court, however, also held that Woodard's pretrial life and liberty interests were protected because a minimal amount of due process attached to clemency due to its distance from trial. Subsequently, the Court of Appeals remanded the case for a determination as to what that process should be.",0
"A Massachusetts federal district court convicted Martin O'Brien and Arthur Burgess of attempted robbery and related weapons crimes. One of the weapons used by the defendants was an AK-47 assault rifle. At a pre-trial conference, the district court ruled that the nature of the weapon (i.e. semi-automatic, automatic, etc.) was an element of the crime and, thus, a matter for the jury to decide. After sentencing, the government appealed, arguing that the nature of the weapon was a sentencing element, and, thus a matter for the judge to decide. The U.S. Court of Appeals for the First Circuit affirmed, holding that under 18 U.S.C. Section 924(c) the nature of the weapon is an element of the crime that must be decided by the jury ""beyond a reasonable doubt.""",0
"The Compulsory Education Act of 1922 required parents or guardians to send children between the ages of eight and sixteen to public school in the district where the children resided. The Society of Sisters was an Oregon corporation which facilitated care for orphans, educated youths, and established and maintained academies or schools. This case was decided together with Pierce v. Hill Military Academy.",0
"Unlike states, the Commonwealth of Puerto Rico may not authorize its municipalities, including utilities, to declare bankruptcy and seek relief under Chapter 9 of the U.S. Bankruptcy Code. In June 2014, Puerto Rico enacted the Puerto Rico Public Corporation Debt Enforcement and Recovery Act (Recovery Act), which expressly provided different protections for creditors than Chapter 9 of the U.S. Bankruptcy Code. The plaintiffs in this case are a group of investors who collectively hold nearly two billion dollars in bonds issued by one of Puerto Rico’s public utilities, the Puerto Rico Electric Power Authority (PREPA), which could potentially file for bankruptcy under the Recovery Act. The plaintiffs sued Puerto Rico in district court and argued that Chapter 9 of the U.S. Bankruptcy Code, which prohibits state municipal debt restructuring laws from binding creditors without their consent, preempts the Recovery Act. The district court found in favor of the plaintiffs and enjoined the enforcement of the Recovery Act. The U.S. Court of Appeals for the First Circuit affirmed.",0
"In 1999, Jorge Luna Torres, a citizen of the Dominican Republic and a lawful permanent resident of the United States, was convicted of violating a New York state arson statute. In 2007, the Immigration and Naturalization Service (INS) issued a notice charging Luna Torres with inadmissibility because he was an “alien convicted of a crime involving moral turpitude.” Luna Torres applied for a cancellation of the removal order and the immigration judge held that Luna Torres was both removable as charged and ineligible for a cancellation of the removal order because he was a permanent resident convicted of an aggravated felony; the Board of Immigration Appeals (BIA) had previously held that a conviction under the New York state arson statute constituted an aggravated felony. Luna Torres appealed to the BIA and argued that the previous ruling should be reexamined. The BIA dismissed Luna Torres’ appeal, and Luna Torres petitioned for review by the U.S. Court of Appeals for the Second Circuit. Prior to the oral argument before the appellate court, the U.S. Court of Appeals for the Third Circuit vacated the BIA’s ruling and concluded that violation of the New York state arson statute did not constitute an aggravated felony because the state statute lacked the federal statute’s interstate commerce element. That decision conflicted with the interpretations of other circuit courts of appeals, and the appellate court in this case upheld the denial of Torres’ petition for cancellation of the removal order.",0
"A Landmark Communications newspaper, The Virginian Pilot, published an article regarding the Virginia Judicial Inquiry and Review Commission's investigation into a state judge. The article, which was accurate, violated a Virginia law that prohibited the release of information from Commission hearings. Landmark was indicted by a grand jury, had its motion to dismiss denied by the trial court, convicted without a jury trial and fined. The Supreme Court of Virginia affirmed Landmark's conviction.",1
"In July 2003, the Transportation Security Administration (TSA) learned of a potential plot to hijack US planes and briefed the Federal Air Marshals accordingly. Not long after that briefing, the TSA notified the Marshals that all missions on flights from Las Vegas would be cancelled until August. Federal Air Marshal Robert J. MacLean became concerned that the TSA was not appropriately responding to the threat and creating a danger to the flying public, so he contacted an MSNBC reporter about the situation in an attempt to create a public controversy. MSNBC published an article, and several members of Congress joined in criticizing the decision to cancel the missions. That decision was then rescinded. In 2004, MacLean appeared disguised on NBC Night News, and some TSA employees recognized his voice. During the course of the investigation that followed, MacLean revealed his role in the 2003 MSNBC article. This contact was deemed to be an unauthorized disclosure of sensitive security information, and MacLean was removed from his position. MacLean challenged the determination that he disclosed sensitive security information before the U.S. Court of Appeals for the Ninth Circuit. MacLean argued that the information about the cancellation of missions was not classified at the time he received it and could not be retroactively classified. The Court of Appeals held that the TSA had simply applied regulations already in force in 2003 to determine that information should fall under that classification. MacLean also challenged his removal before the Merit Systems Protection Board (Board) and argued that his actions were protected under the Whistleblower Protection Act (WPA). The Board determined that MacLean's actions did not fall under the WPA because they were explicitly prohibited by law. The U.S. Court of Appeals for the Federal Circuit reversed the Board's ruling and held that MacLean's actions were not explicitly prohibited by law under the WPA.",0
"Plaintiffs Stephen R. Chandler and Robert L. Pierce were the sole shareholders of Home Oil and Coal Company, Inc. In 1999, Pierce contemplated selling his share of the business and sought professional advice in an effort to minimize tax liability generated by the sale of his interest in Home Oil. Each of the taxpayers initiated short sales of United States Treasury Bonds for $7,472,405. They then transferred the proceeds from that sale to Home Concrete as capital contributions. Home Concrete then closed the short sales by purchasing and returning essentially identical Treasury Bonds on the open market for $7,359,043. This transaction created ""outside basis,"" or how much the partner's investment was worth according to tax rules, equal to the amount of the proceeds the taxpayers contributed. Home Oil then transferred its assets to Home Concrete as a capital contribution. The taxpayers (except Home Oil) then transferred percentages of their partnership interests in Home Concrete to Home Oil as capital contributions. Home Concrete then sold substantially all of its assets to a third party purchaser for $10,623,348. The taxpayers timely filed their tax returns for 1999 in April 2000. Home Concrete elected to step-up its inside basis, or the amount that the partnership tax records compute for each partner, to equal the taxpayers' outside basis. Home Concrete again adjusted its inside basis to $10,527,250.53, including the amount of short sale proceeds earlier contributed by the taxpayers. As a result Home Concrete reported a $69,125.08 gain from the sale of its assets. The IRS did not investigate until June 2003. As a result of their investigation, the IRS determined that the partnership was formed ""solely for the purposes of tax avoidance by artificially overstating basis in the partnership interests of its purported partners."" On September 7, 2006 the IRS issued a Final Partnership Administrative Adjustment (FPAA), in which they decreased to zero the taxpayers' reported outside bases in Home Concrete. This substantially increased the taxpayers' taxable income. Plaintiff taxpayers brought action against Internal Revenue Service (IRS) seeking to recover the increase. As a general matter, the Internal Revenue Service (IRS) has three years to assess additional tax if the agency believes that the taxpayer's return has understated the amount of tax owed. That period is extended to six years, however, if the taxpayer omits from gross income an amount which is in excess of 25 percent of the amount of gross income stated in the taxpayer's return. During the trial the Treasury Department passed a regulation stating that the six-year period for assessing tax remains open for ""all taxable years… that are the subject of any case pending before any court of competent jurisdiction… in which a decision had not become final."" The U.S. Court of Appeals for the Fourth Circuit disagreed and found in favor of the plaintiffs.",0
"In 1975, California enacted the Agricultural Labor Relations Act (“ALRA”), which, among other things, created the Agricultural Labor Relations Board (“the Board”). Shortly after Act went into effect and established the Board, the Board promulgated a regulation allowing union organizers access to agricultural employees at employer worksites under specific circumstances. Cedar Point Nursery, an Oregon corporation, operates a nursery in Dorris, California, that raises strawberry plants for producers. It employs approximately 100 full-time workers and more than 400 seasonal workers at that location. On October 29, 2015, organizers from the United Farm Workers union (""the UFW"") entered the nursery, without providing prior written notice of intent to take access as required by the regulation. The UFW allegedly disrupted the workers, and some workers left their work stations to join the protest, while a majority of workers did not. Sometime later, the UFW served Cedar Point with written notice of intent to take access. Cedar Point filed a charge against the UFW with the Board, alleging that the UFW had violated the access regulation by failing to provide the required written notice before taking access. The UFW likewise filed a countercharge, alleging that Cedar Point had committed an unfair labor practice. Cedar Point then sued the Board in federal district court alleging that the access regulation, as applied to them, amounted to a taking without compensation, in violation of the Fifth Amendment, and an illegal seizure, in violation of the Fourth Amendment. The district court granted the Board’s motion to dismiss for failure to state a claim, and Cedar Point appealed. Reviewing the district court’s order granting the motion to dismiss de novo, the U.S. Court of Appeals for the Ninth Circuit concluded that the access regulation does not violate either provision, and it affirmed the lower court.",1
"A nurse in California was charged with killing 12 patients by administering massive doses of heart medication. During a preliminary hearing in the Superior Court of California, Riverside County, the nurse moved to exclude the public. California law requires preliminary hearings to be open to the public unless a closed hearing is necessary to protect the accused’s right to a fair trial. The judge granted the motion because of the the national publicity surrounding the case. After the hearing, Press-Enterprise Co. requested a transcript of the proceedings. The court denied the request because the transcript might prejudice the nurse’s right to a fair and impartial trial. Press-Enterprise filed a preemptory writ of mandate in the California Court of Appeal, but the court denied the writ. The California Supreme Court also denied the writ, holding that the First Amendment does not guarantee a right of access to preliminary hearings. The court also held that once the accused establishes a “reasonable likelihood of substantial prejudice”, the burden shifts to Press-Enterprise to show there is no reasonable probability of prejudice.",1
"Helsinn owns four patents describing intravenous formulations of palonosetron for reducing the likelihood of chemotherapy-induced nausea and vomiting (“CINV”). All four claim priority to a provisional patent application filed on January 30, 2003. The critical date for the on-sale bar is one year earlier, January 30, 2002, which means the sale of the invention before that date can invalidate the patent. In its defense, Teva argued that the asserted claims were invalid under the on-sale bar provision of 35 U.S.C. § 102. The sale referenced by Teva in its defense was an exclusive supply and purchase agreement between Helsinn and MGI Pharma. Everything about the agreement except the terms and price was publicly disclosed. The district court upheld as valid Helsinn’s patents and rejected Teva’s “on sale” defense. The Federal Circuit reversed, finding that the patents were subject to an invalidating contract for sale prior to the critical date of January 30, 2002, The court also noted that the evidence that the formulation was ready for patenting before the critical date was “overwhelming.”",0
"Jane and John Doe said they performed espionage activities abroad for the United States. The Does sued the CIA in federal district court for not paying financial support allegedly promised to the Does and for allegedly violating the Does' due process rights. The CIA argued the U.S. Supreme Court's decision in Totten v. U.S. (1875) prohibited the district court from hearing the case. In Totten the Court dismissed a spy's claim against the government for damages for breach of contract. Both the district court and the Ninth Circuit Court of Appeals ruled Totten did not prevent the district court from hearing the Does' case. The courts reasoned that the Does' case, unlike Totten's, was mainly about the denial of due process rights. The Ninth Circuit said the CIA could prohibit the district court from hearing the Does' case only if the CIA could show that state secrets would be in jeopardy were the case to proceed. The Ninth Circuit sent the case back to the district court for that court to determine the CIA's potential state secrets claim.",1
"In 1981, John Abel was indicted for robbing a bank in California. During Abel’s trial, the prosecution called one of his accomplices, Kurt Ehle, to testify that Abel had participated in the robbery. To counter Ehle’s testimony, Abel called a mutual friend, Robert Mills, to the stand. Mills, Abel, and Ehle knew each other from the time they spent in prison together and their involvement in a prison gang, the Aryan Brotherhood. Mills testified that, in prison, Ehle had talked about his plans to rob the bank and blame it on Abel. To discredit Mills, the prosecution re-called Ehle to the stand to expose the three men’s involvement in the Brotherhood and the gang’s strict code of protection, which required members to lie, cheat, steal, and kill to protect a fellow member. Ehle testified that this code of conduct explained why Mills testified in defense of Abel. Abel’s counsel argued that this testimony was irrelevant, but the district court allowed it into evidence because the probative value of the evidence outweighed any prejudicial effect it may have on Abel. Abel lost and appealed to the U.S. Court of Appeals for the Ninth Circuit, which reversed because admitting evidence that Mills belonged to a perjurious organization, to suggest he was committing perjury this time, unfairly prejudiced him by association absent any evidence of his individual willingness to lie.",1
"Cosmetics company Lasting Impression trademarked the term ""micro colors."" Lasting Impression sued K.P. Permanent Make-Up in federal district court for using the term. K.P. used the ""classic fair use defense"" and argued it used the term only to describe K.P. products. The district court sided with K.P. Lasting appealed to the Ninth Circuit Court of Appeals. Unlike other federal appellate courts, the Ninth Circuit required companies that used the fair use defense to prove there was no likelihood of confusion in use of the term. The Ninth Circuit ruled there was likelihood of confusion and reversed the district court's ruling.",1
"In 1993, the South Boston Allied War Veterans Council was authorized by the city of Boston to organize the St. Patrick's Day Parade. The Council refused a place in the event for the Irish American Gay, Lesbian, and Bisexual Group of Boston (GLIB). The group attempted to join to express its members' pride in their Irish heritage as openly gay, lesbian, and bisexual individuals. The Massachusetts State Court ordered the Veterans' Council to include GLIB under a state law prohibiting discrimination on account of sexual orientation in public accommodations. The Veterans' Council claimed that forced inclusion of GLIB members in their privately-organized parade violated their free speech.",1
"In March 2011, Robert Nelson was employed by BNSF Railway Co. (BNSF) and sued the company for damages under the Federal Employers’ Liability Act (FELA) based on knee injuries sustained during the course of his employment. BNSF moved to dismiss for lack of personal jurisdiction. The lower court granted the motion and Nelson appealed. Brent Tyrrell also worked for BNSF and was allegedly exposed to carcinogens that caused him to develop ultimately fatal kidney cancer. In May 2014, Kelli Tyrell, the administrator of Brent’s estate, sued BNSF on Brent’s behalf under FELA for damages based on the injuries Brent sustained during the course of his employment. BNSF filed a motion to dismiss Tyrrell’s claim for lack of personal jurisdiction. The lower court denied the motion, and BNSF appealed. Both cases were filed in Montana state court because Supreme Court precedent for FELA decisions allows state courts jurisdiction to hear FELA cases solely due to the railroad doing business in the forum state. However, the injuries did not occur in Montana, and BNSF is incorporated in Delaware with its principal place of business in Texas. The Supreme Court of Montana consolidated both cases to decide whether Montana courts have personal jurisdiction over BNSF under FELA and whether Montana courts have personal jurisdiction over BNSF under Montana law. BNSF argued that, under the U.S. Supreme Court’s decision in Daimler AG v. Bauman, the state courts cannot exercise general jurisdiction. However, the Montana Supreme Court rejected that argument and held that, because BNSF does business in Montana, under FELA, Montana courts have personal jurisdiction. Montana’s Supreme Court also held that the state has general personal jurisdiction over BNSF under Montana law because BNSF “maintains substantial, continuous, and systematic” contacts with Montana.",1
"Salim Ahmed Hamdan, Osama bin Laden's former chauffeur, was captured by Afghan forces and imprisoned by the U.S. military in Guantanamo Bay. He filed a petition for a writ of habeas corpus in federal district court to challenge his detention. Before the district court ruled on the petition, he received a hearing from a military tribunal, which designated him an enemy combatant. A few months later, the district court granted Hamdan's habeas petition, ruling that he must first be given a hearing to determine whether he was a prisoner of war under the Geneva Convention before he could be tried by a military commission. The Circuit Court of Appeals for the District of Columbia reversed the decision, however, finding that the Geneva Convention could not be enforced in federal court and that the establishment of military tribunals had been authorized by Congress and was therefore not unconstitutional.",1
"More than 20 years ago, General Dynamics Corp. and McDonnell Douglas Corp. signed a contract to build eight A- 12 Avenger stealth fighters for the U.S. Navy at a total estimated cost of more than $4 billion. Three years later, the Navy and then-Defense Secretary Dick Cheney declared the company in default and canceled the contract. The government has argued that the companies weren't able to produce the aircraft as designed on schedule and is seeking repayment of $1.35 billion, plus more than $2.5 billion in accumulated interest, arguing that the companies failed to meet the terms of the contract. Meanwhile, General Dynamics Corp. and Boeing Co., which inherited the litigation through its purchase of McDonnell Douglas, contend that the delay was caused by the government's refusal to share essential stealth technology. The government has argued that the companies couldn't press that argument because litigating the issue would require the disclosure of military secrets and jeopardize national security. Two lower courts agreed.",1
